,A,B,A_translation,B_translation
0,Alkohol etylowy,substancja znajdująca się w winie i innych napojach alkoholowych będąca jednym z alkoholi prostych. Spożyty w nadmiernych ilościach odpowiada przede wszystkim za stan upojenia i konsekwencje z nim związane. W niewielkich dawkach potrafi wpływać w sposób korzystny na kondycję organizmu i mieć właściwości lecznicze. ,Ethanol,a substance found in wine and other alcoholic beverages which is one of the simple alcohols. Excessive amounts are responsible primarily for the state of intoxication and the consequences associated with it. In small doses it can affect the body condition and its healing properties.
1,Antocyjany,"barwniki zawarte w roślinach, także w winogronach, głównie ich skórce. Odpowiadają za barwę i pH wina, szczególnie czerwonego. Nazywane są również pigmentami.",anthocyanins,"dyes included in the plants, also in the grapes, mainly their peels. They are responsible for the color and pH of the wine, especially red. They are also called pigments."
2,Apelacja,"określenie zbioru praw związanych ze sposobem, jakością i obszarem powstawania win, które nazwę danej apelacji noszą na swojej etykiecie.",Appeal,"Identify the set of rights associated with the way, the quality and the area of ​​origin of the wines that the name of the appellation they carry on their label."
3,Azienda agricola,"posiadłość winiarska we Włoszech, produkująca wina tylko z winogron wyprodukowanych we własnych winnicach.",Farm,"Wine estate in Italy, producing wine only from grapes produced in their own vineyards."
4,Azienda vinicola,"posiadłość winiarska we Włoszech, produkująca wina także z win lub gron zakupionych od innych producentów.",Winery,"Wine estate in Italy, which also produces wine from wines or grapes purchased from other producers."
5,Baume,australijska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.,Baume,Australian unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.
6,Barrique,"najczęściej dębowa beczka pochodząca z Bordeaux, obecnie popularna na całym świecie. Jej pojemność wynosi 225l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa.",Barrique,"mostly oak casks originating from Bordeaux, now popular all over the world. Its capacity is 225l. He can clearly change the shape and taste of wine, especially when it is new."
7,Battonage,"czynność możliwa do wykonywania w czasie różnych etapów winifikacji. Oznacza mieszanie wina nad osadem. W dawnych czasach mieszanie wykonywano manualnie kijem, w jęz. francuskim ",battonage,"The activity can be performed during different stages of vinification. It means mixing wine over sediment. In the old days, mixing was done manually with a stick, in English. French"
8,Bodega,słowo oznaczające w Hiszpanii piwnicę lub producenta win.,Bodega,A word meaning a cellar or a wine producer in Spain.
9,Botrytis,grzyb atakujący grona winorośli. Forma szlachetna Botrytis cinerea nazywana jest „czerwoną pleśnią” i pozwala uzyskać wyjątkowe wina słodkie. Forma szkodliwa nazywana „szarą pleśnią” prowadzi do gnicia gron.,Botrytis,"mushroom attacking the grape cluster. Botrytis cinerea is known as ""red mold"" and allows you to obtain exceptional sweet wines. A harmful form called ""gray mold"" leads to rotting grapes."
